rank,contributor,lines,percentage,ratio_to_next
1,Steve Jones,200055,28.0498252275267,2.0982002391290666
2,Chris Grzegorczyk,95346,13.368516838588192,1.263781562727815
3,Garrett Holmstrom,75445,10.5781863202157,1.0329130214537041
4,chuck,73041,10.241120114187487,1.5219728699131088
5,Zach Hill,47991,6.728845379991672,1.2876576334853769
6,Evan Thomas,37270,5.225647877983155,1.1781999810324661
7,Sang-Min Park,31633,4.435280904862923,1.588241200984084
8,Dmitrii Zagorodnov,19917,2.7925738874641937,1.0992328494950052
9,Swathi Gangisetty,18119,2.540475285784191,1.578860230045312
10,wenye,11476,1.6090564810232006,1.0303465613216016
11,Daniel Nurmi,11138,1.5616653089609975,1.097772521190617
12,Neil Soman,10146,1.4225764252754787,1.005550049554014
13,Neil,10090,1.414724633454522,1.0937669376693766
14,Wes Wannemacher,9225,1.293442491934387,1.1065131342209429
15,graziano obertelli,8337,1.1689355073449306,1.3860349127182046
16,Vasiliy Kochergin,6015,0.8433665679116897,1.2270501835985312
17,Tom Werges,4902,0.6873122054701751,1.0684394071490846
18,Garrett Holmstrom,4588,0.6432860870455249,1.0238785985271144
19,Matt Spaulding,4481,0.6282835562447684,1.1952520672179248
20,Mitch Garnaat,3749,0.5256494202994056,1.068091168091168
21,Ye Wen,3510,0.49213909449210824,1.0144508670520231
22,Sang-Min Park,3460,0.4851285660805398,1.0291493158834026
23,Ken Edwards,3362,0.4713879303938655,1.1863091037402964
24,Jeff Uphoff,2834,0.39735675036770224,1.2567627494456763
25,Garrett Holmstrom,2255,0.3161748313617391,1.0978578383641675
26,Andy Grimm,2054,0.28799250714723373,1.3522053982883475
27,Charles Gelinas,1519,0.21297985314345083,1.065217391304348
28,twerges,1426,0.19994027029793343,1.053175775480059
29,graziano obertelli,1354,0.1898451093852748,1.0280941533788914
30,graziano,1317,0.1846573183607141,1.1314432989690721
31,Matt Clark,1164,0.16320510142131453,1.1043643263757115
32,twerges,1054,0.14778193891586383,1.205949656750572
33,shaon,874,0.12254403663421727,1.3242424242424242
34,mmunn,660,0.09253897503270411,1.0662358642972536
35,twerges,619,0.08679034173521795,1.4229885057471265
36,Dmitrii Zagorodnov,435,0.060991597180645896,1.1328125
37,neil,384,0.05384085820084603,1.0267379679144386
38,Dmitrii Zagorodnov dmitrii@eucalyptus.com,374,0.05243875251853233,1.147239263803681
39,Vika Felmetsger,326,0.04570864524342658,1.2164179104477613
40,Charles Gelinas,268,0.03757643228600713,1.2237442922374429
41,Andy Grimm,219,0.03070611444267,1.1288659793814433
42,mmunn1,194,0.027200850236885756,1.2516129032258065
43,Neil Soman,155,0.02173263807586233,2.421875
44,kwe@eucalyptus,64,0.008973476366807672,1.0
45,lwade,64,0.008973476366807672,1.0847457627118644
46,Ken Edwards,59,0.008272423525650822,1.5945945945945945
47,Zach Hill,37,0.005187791024560685,1.1935483870967742
48,Noirin Plunkett,31,0.004346527615172466,1.2916666666666667
49,Tim Cramer,24,0.003365053637552877,1.1428571428571428
50,nekro,21,0.0029444219328587672,1.105263157894737
51,Vic Iglesias,19,0.0026640007963960274,1.0555555555555556
52,coverity,18,0.002523790228164658,1.3846153846153846
53,Brian Thomason,13,0.0018227373870078082,1.0833333333333333
54,dkavanagh,12,0.0016825268187764385,1.0909090909090908
55,Alin Tomescu,11,0.0015423162505450686,1.1
56,John Donnelly,10,0.0014021056823136987,1.1111111111111112
57,wenye,9,0.001261895114082329,1.2857142857142858
58,wenye,7,0.000981473977619589,1.1666666666666667
59,Harold Spencer Jr,6,0.0008412634093882193,1.2
60,Marek Goldmann,5,0.0007010528411568493,1.0
61,Oskar Senft,5,0.0007010528411568493,1.25
62,mmunn1,4,0.0005608422729254795,1.3333333333333333
63,Tim Boudreau,3,0.00042063170469410963,1.5
64,Antti Rasinen,2,0.00028042113646273975,1.0
65,Michael Munn,2,0.00028042113646273975,1.0
66,Tim Cramer,2,0.00028042113646273975,2.0
67,Deependra Shekhawat,1,0.00014021056823136988,1.0
68,Mak Kolybabi,1,0.00014021056823136988,1.0
69,neil,1,0.00014021056823136988,1.0
70,nekro,1,0.00014021056823136988,
