path,target_lines,all_lines,target_percent
clc,84147,545929,15.41354279
tools,2179,14556,14.96977192
wsdl,1021,3757,27.17593825
devel,715,4283,16.69390614
LICENSE,666,701,95.00713267
cluster,590,17290,3.41237710
util,232,29630,0.78299021
project,216,311,69.45337621
node,188,18940,0.99260824
storage,121,28635,0.42255980
configure,79,12690,0.62253743
INSTALL,34,811,4.19235512
net,33,17348,0.19022366
gatherlog,29,1770,1.63841808
configure.ac,25,365,6.84931507
.gitignore,25,129,19.37984496
Makefile,15,161,9.31677019
extras,3,770,0.38961039
Makedefs.in,1,118,0.84745763
doxygen,0,5527,0.00000000
config.sub,0,1705,0.00000000
config.guess,0,1501,0.00000000
install-sh,0,519,0.00000000
m4,0,214,0.00000000
.cproject,0,91,0.00000000
.project,0,78,0.00000000
README,0,48,0.00000000
aclocal.m4,0,31,0.00000000
VERSION,0,1,0.00000000
